19	16624583	17477318	HP:0011844	1.598694443484572	19.148.A.2
6	157968773	158324869	HP:0000234	1.337224080051973	6.218.A.8
22	20754422	20831946	HP:0100737	2.0854876370077435	22.78.A.71
2	61507413	61515853	HP:0008872	1.2306821483954575	2.153.A.12
6	156699509	156772218	HP:0008373	3.0586172953647868	6.209.A.11
1	146835448	146854894	HP:0000729	1.6092165122978024	1.349.A.37
13	115083483	115089676	HP:0000496	1.2458953399944155	13.167.A.8
2	200256585	200340204	HP:0000234	1.255292275007739	2.452.A.16
9	81186654	81372421	HP:0012243	1.0328642207314225	9.133.A.10
3	182253513	182350757	HP:0000478	1.464073877344149	3.298.A.13
22	34083680	34894566	HP:0010936	2.2505800011456762	22.213.A.6
22	41082043	41497969	HP:0000582	1.0315407266529464	22.235.A.6
15	22652047	22669052	HP:0000750	1.5556982774885753	15.19.A.20
11	31464790	31468269	HP:0008062	9.698313126919054	11.49.A.9
15	75655392	75753300	HP:0000316	1.0430842660564186	15.199.A.13
6	86632568	88043414	HP:0012718	1.1159812501621453	6.96.A.4
15	23699701	23699760	HP:0000752	1.563902465106434	15.43.A.47
9	129950179	130120163	HP:0000448	5.426451306463189	9.204.A.7
X	2348192	2628850	HP:0001328	2.781944478978064	X.27.A.14
7	77320446	79337679	HP:0009122	1.1293178883820412	7.214.A.3
9	130454203	130898515	HP:0002648	1.392728821994576	9.215.A.6
22	21468352	21499435	HP:0004323	1.3586223617405242	22.109.A.35
9	113529559	114341159	HP:0000032	1.62678807248693	9.180.A.6
12	117237457	117441683	HP:0012718	1.0232684114597435	12.219.A.5
1	177328801	177655416	HP:0006494	3.280242118961543	1.441.A.4
X	138802717	139479994	HP:0006496	2.0405831630875335	X.314.A.10
X	153609163	153613988	HP:0002493	1.239257563623425	X.378.A.18
22	44352257	44554233	HP:0000204	1.3743294031964628	22.265.A.16
14	102767995	103060633	HP:0001155	1.267939328151228	14.108.A.8
2	157141280	157315748	HP:0012785	1.6712147306661638	2.320.A.9
22	21024880	21032298	HP:0001627	2.6113317471284896	22.83.A.72
9	18272756	19437090	HP:0000357	2.6026278205647033	9.97.A.7
3	147409743	148247003	HP:0001713	1.9000616352423543	3.238.A.7
7	152922260	152990490	HP:0025033	1.467870517479765	7.377.A.16
16	29039612	29042059	HP:0000772	4.34555008002129	16.171.A.23
X	30354409	31375215	HP:0001155	1.267939328151228	X.106.A.8
18	52913848	52918717	HP:0001290	1.3398959529565162	18.114.A.6
2	108532448	108578833	HP:0009885	1.451894968346511	2.219.A.6
8	65482369	66504208	HP:0000383	1.7151159350616243	8.183.A.5
22	49974766	50055568	HP:0100737	1.001054189367614	22.305.A.30
1	247074401	247179291	HP:0002012	3.1251351274333015	1.571.A.18
17	62293	84279	HP:0000218	1.0479732801093535	17.4.A.8
5	15937446	16716688	HP:0040195	2.0026465668272793	5.40.A.9
9	14025665	14025806	HP:0010946	1.1360289056972745	9.79.A.23
1	8586125	8593674	HP:0001249	1.0053171905459248	1.115.A.13
17	18676980	18678882	HP:0000539	1.8806354348827155	17.171.A.33
22	51125578	51132603	HP:0001597	3.007401259921807	22.331.A.43
4	131835382	133051703	HP:0000358	1.452087153182499	4.184.A.8
1	146086979	146089268	HP:0000364	1.2260497406429165	1.331.A.16
18	74251345	74539605	HP:0003196	1.74567208499312	18.173.A.28
16	30074649	30098040	HP:0012031	1.0147614246825463	16.215.A.85
1	75230948	75805345	HP:0001388	3.4745955618290663	1.240.A.5
1	29167522	29205507	HP:0030680	1.068915643889408	1.181.A.5
17	16757364	16778475	HP:0000159	1.0133570607687075	17.158.A.16
5	22132528	22825583	HP:0001631	1.0493827993551466	5.48.A.5
9	1981633	2129832	HP:0000470	2.049365329307946	9.31.A.35
7	101972038	102067643	HP:0001627	1.3310345143863969	7.258.A.10
15	30888776	30892879	HP:0000492	1.0462341859297657	15.96.A.16
17	60251568	60315273	HP:0001773	1.7496830446273497	17.344.A.6
8	11702150	11725065	HP:0000540	1.7676782202821582	8.82.A.32
1	72322307	73211283	HP:0000324	1.6711503166058292	1.235.A.6
4	1742590	1827058	HP:0040068	1.017594772451204	4.25.A.21
17	53699750	54165504	HP:0001155	1.1723978205464016	17.322.A.4
7	129187561	129573116	HP:0000492	1.175096565202591	7.326.A.10
9	15875807	16527801	HP:0002814	2.0693129442084928	9.88.A.14
22	42924628	43106341	HP:0040194	1.477041211843392	22.253.A.12
6	98966910	99082418	HP:0000290	1.8124777057346626	6.106.A.9
2	42708267	44625405	HP:0100737	1.1562027458589041	2.82.A.4
22	20196469	20249486	HP:0004363	5.076923503074548	22.65.A.69
10	8824432	9190854	HP:0001760	1.4386634269977925	10.27.A.9
10	129095565	129907496	HP:0200007	1.3142525499723843	10.203.A.19
10	131635280	131651314	HP:0010935	1.202143995752029	10.216.A.26
4	86554329	90292135	HP:0009815	1.0147614246825463	4.143.A.4
7	103445451	103471620	HP:0003808	1.025237516378122	7.264.A.10
18	67208990	67223975	HP:0000202	1.3089551510811177	18.159.A.18
3	4807199	5016406	HP:0001197	1.146192307365044	3.28.A.13
3	115507808	115507949	HP:0008736	4.3186920255683505	3.196.A.10
X	129053642	130837923	HP:0001385	2.0211277118928166	X.302.A.8
22	19166795	19171528	HP:0001883	2.046716798534294	22.56.A.68
7	41084521	41518389	HP:0040069	3.139028979285195	7.121.A.10
1	198165379	202598229	HP:0025033	1.1159812501621453	1.465.A.4
7	142460851	142745116	HP:0000036	1.139690775305958	7.349.A.6
